date,overall_rate,men_rate,women_rate,men_16_17_rate,women_16_17_rate,men_16_19_rate,women_16_19_rate,men_18_19_rate,women_18_19_rate,men_16_24_rate,women_16_24_rate,men_20_24_rate,women_20_24_rate,men_25plus_rate,women_25plus_rate,men_25_34_rate,women_25_34_rate,men_25_54_rate,women_25_54_rate,men_35_44_rate,women_35_44_rate,men_45_54_rate,women_45_54_rate,men_55plus_rate,women_55plus_rate
1948-01-01,3.4,3.4,3.3,9.7,8.8,9.4,7.2,9.5,6.8,8.0,4.9,7.2,3.4,2.5,2.7,2.6,4.3,2.3,2.8,2.1,1.8,2.3,2.1,3.0,
1948-02-01,3.8,3.6,4.5,13.0,13.2,10.8,8.9,9.2,6.8,8.6,6.3,7.4,4.5,2.6,3.7,2.7,5.1,2.6,3.7,2.5,2.6,2.6,3.3,2.9,
1948-03-01,4.0,3.8,4.4,14.0,11.4,11.9,8.6,10.3,7.3,10.0,6.7,9.0,5.4,2.6,3.2,2.7,3.5,2.6,3.3,2.6,3.0,2.4,3.3,2.8,
1948-04-01,3.9,3.8,4.3,11.6,10.6,9.8,9.2,8.6,8.6,8.6,6.7,7.9,5.0,2.8,3.5,3.2,3.8,2.8,3.5,2.7,3.5,2.5,3.1,2.9,
1948-05-01,3.5,3.5,3.7,7.1,5.4,7.6,6.1,8.6,7.0,7.6,5.4,7.6,4.9,2.7,3.1,2.9,3.3,2.5,3.1,2.4,3.0,2.3,2.9,3.1,
1948-06-01,3.6,3.3,4.3,11.3,12.9,9.3,9.3,7.4,6.8,7.8,6.5,6.9,4.6,2.4,3.5,2.5,4.2,2.3,3.6,2.3,3.3,2.2,3.1,2.8,
1948-07-01,3.6,3.4,4.2,9.9,11.0,10.2,9.0,11.0,7.2,7.5,7.5,6.0,6.5,2.5,3.3,2.4,4.2,2.4,3.3,2.4,2.6,2.2,3.1,2.9,
1948-08-01,3.9,3.6,4.4,9.8,7.6,10.4,8.5,10.3,8.8,7.7,6.2,6.2,4.7,2.8,4.0,3.1,4.7,2.7,4.1,2.3,4.1,2.4,3.4,3.3,
1948-09-01,3.8,3.7,4.1,10.2,7.3,9.6,7.6,8.9,7.3,7.5,5.5,6.3,4.1,2.9,3.6,2.8,4.9,2.8,3.7,2.6,3.0,3.2,3.2,3.4,
1948-10-01,3.7,3.6,4.0,7.9,8.4,9.4,7.3,10.5,6.1,6.9,5.7,5.6,4.6,2.8,3.4,3.0,4.5,2.6,3.6,2.3,3.0,2.5,3.0,3.3,
1948-11-01,3.8,3.7,3.9,8.7,8.3,9.7,8.2,10.5,8.5,7.1,6.2,5.7,4.9,3.0,3.2,3.2,4.4,2.8,3.3,2.3,3.0,2.8,2.3,3.9,
1948-12-01,4.0,3.9,4.2,7.7,7.0,9.1,7.7,10.4,7.7,7.7,6.4,6.9,5.4,3.1,3.5,2.8,4.4,2.8,3.6,2.6,3.0,3.1,3.4,4.1,
1949-01-01,4.3,4.2,4.4,9.0,10.5,10.2,9.6,11.2,9.7,8.6,7.0,7.7,5.1,3.4,3.6,3.6,4.2,3.2,3.7,2.8,3.5,3.2,3.3,3.7,
1949-02-01,4.7,4.6,4.8,11.0,14.7,10.6,10.5,10.2,8.7,9.2,7.8,8.5,5.9,3.7,3.7,3.8,4.4,3.6,3.9,3.4,3.9,3.6,3.3,4.3,
1949-03-01,5.0,5.1,4.6,13.5,12.4,13.5,9.9,13.2,9.1,10.7,7.2,9.3,5.2,4.0,3.3,4.4,3.3,3.8,3.6,3.4,4.1,3.6,3.1,4.6,
1949-04-01,5.3,5.3,5.5,13.8,13.9,14.1,11.8,14.3,11.0,10.9,8.5,9.1,6.2,4.2,4.5,4.5,5.7,4.0,4.7,3.6,4.5,3.8,3.8,4.7,
1949-05-01,6.1,6.1,6.0,14.1,12.7,14.7,11.5,16.0,11.4,12.3,8.9,11.1,7.1,4.8,5.0,5.3,6.1,4.7,5.0,4.3,4.9,4.5,3.9,5.4,
1949-06-01,6.2,6.2,6.2,14.5,14.6,14.7,12.6,14.2,11.4,12.3,9.4,11.0,7.3,4.9,5.1,5.8,6.9,5.0,5.0,4.4,4.5,4.6,3.1,5.3,
1949-07-01,6.7,6.7,6.8,14.0,14.9,14.8,13.6,16.1,12.1,13.3,9.8,12.5,7.4,5.3,6.2,5.7,7.2,5.0,6.0,4.6,5.6,4.6,4.7,6.2,
1949-08-01,6.8,6.8,6.8,15.9,15.6,16.8,12.7,16.8,10.8,13.7,10.7,12.1,9.3,5.4,5.7,5.3,7.5,5.0,6.0,4.9,5.4,4.7,4.7,6.6,
1949-09-01,6.6,6.5,6.8,11.2,17.6,14.8,14.5,16.5,12.5,12.2,11.2,10.9,9.0,5.4,5.4,5.6,6.2,5.1,5.4,5.2,5.3,4.5,4.5,6.7,
1949-10-01,7.9,8.4,6.8,18.6,15.4,17.3,13.8,16.5,12.4,14.1,11.0,12.4,9.0,6.9,5.3,8.7,7.2,7.1,5.8,6.0,5.3,6.1,4.8,6.6,
1949-11-01,6.4,6.5,6.3,14.2,13.4,15.3,12.2,16.2,12.0,12.4,9.8,10.9,8.1,5.3,5.2,5.5,6.5,5.3,5.4,5.2,4.9,4.9,4.6,5.8,
1949-12-01,6.6,6.5,6.8,16.2,16.3,15.9,14.7,16.4,13.4,12.0,11.0,9.9,8.5,5.4,5.4,5.9,6.7,5.3,5.5,4.9,5.1,5.1,4.4,5.6,
1950-01-01,6.5,6.4,6.9,19.3,14.2,17.1,12.6,15.6,12.3,13.1,10.7,10.9,9.5,5.1,5.8,5.7,6.8,4.9,5.9,3.7,5.2,5.2,5.5,5.4,
1950-02-01,6.4,6.2,6.8,15.7,15.1,16.4,13.4,16.5,12.3,12.8,10.3,10.8,8.4,4.9,5.7,5.4,6.5,4.9,5.8,4.1,5.1,5.1,5.7,5.3,
1950-03-01,6.3,6.1,6.7,14.7,16.0,14.4,14.1,14.1,12.9,11.9,9.1,10.6,5.9,5.0,5.3,5.5,6.2,4.9,5.7,4.4,5.3,4.8,5.5,5.5,
1950-04-01,5.8,5.9,5.4,15.6,11.3,14.1,9.0,13.1,8.1,10.8,7.7,9.2,6.9,4.9,4.7,5.2,5.3,4.7,4.8,4.3,4.5,4.6,4.4,5.7,
1950-05-01,5.5,5.4,5.8,16.3,14.2,14.6,11.5,14.1,10.4,10.5,9.1,8.4,7.5,4.5,4.8,4.9,6.3,4.4,5.1,4.0,4.6,4.1,4.2,5.1,
1950-06-01,5.4,5.1,6.1,12.8,15.2,12.9,11.3,12.5,9.1,9.4,9.2,7.5,7.9,4.3,5.1,4.4,6.3,3.9,5.1,3.5,4.3,3.8,4.7,5.7,
1950-07-01,5.0,4.8,5.6,10.9,16.0,10.9,11.6,11.3,9.0,8.6,8.8,7.4,7.0,4.0,4.9,4.3,6.0,3.9,5.0,3.2,4.5,4.0,4.4,4.6,
1950-08-01,4.5,4.3,4.8,10.7,12.9,10.8,10.5,10.5,9.1,8.4,7.3,7.1,5.3,3.5,4.1,3.4,5.3,3.3,4.2,3.1,3.7,3.4,3.7,3.9,
1950-09-01,4.4,4.2,5.1,12.2,13.2,11.1,10.6,10.0,8.9,8.9,8.4,7.6,7.0,3.3,4.1,3.2,5.1,3.2,4.1,3.1,3.7,3.3,3.6,3.9,
1950-10-01,4.2,3.9,4.8,11.7,11.5,10.5,10.1,10.0,8.7,6.5,7.4,4.3,5.6,3.3,4.0,3.1,4.6,3.1,3.9,2.9,3.3,3.3,4.0,4.1,
1950-11-01,4.2,3.7,5.2,9.9,12.9,9.1,10.1,8.8,8.9,7.0,7.3,5.9,5.5,3.1,4.6,3.0,5.8,2.9,4.7,2.7,4.0,2.9,4.3,4.0,
1950-12-01,4.3,3.8,5.2,11.6,18.3,9.6,13.2,8.3,9.3,6.6,8.5,4.9,5.5,3.3,4.2,3.4,4.6,3.0,4.3,2.8,4.1,2.7,4.0,4.3,
1951-01-01,3.7,3.3,4.6,9.3,10.7,8.6,8.3,8.0,7.8,5.8,6.2,4.2,4.8,2.9,4.2,2.6,4.8,2.5,4.2,2.5,4.0,2.3,3.8,3.9,
1951-02-01,3.4,3.0,4.5,8.8,8.6,8.0,8.3,7.1,7.9,5.4,5.6,3.9,3.9,2.5,4.1,2.5,4.8,2.2,4.1,2.0,3.8,2.1,3.8,3.7,
1951-03-01,3.4,2.7,4.9,8.4,12.7,7.6,9.4,7.0,7.3,5.0,7.1,3.6,5.5,2.3,3.9,2.3,5.1,2.1,4.2,1.9,3.9,2.1,3.6,3.1,
1951-04-01,3.1,2.5,4.4,9.1,9.8,7.9,8.0,7.1,7.3,5.2,5.9,3.8,4.6,2.1,4.0,1.7,4.9,1.8,4.0,1.6,3.8,2.3,3.1,2.9,
1951-05-01,3.0,2.5,4.2,7.7,7.6,6.8,6.5,6.4,5.9,4.8,4.9,3.5,3.9,2.1,4.0,1.9,4.5,1.9,4.1,1.6,3.8,2.2,4.0,2.8,
1951-06-01,3.2,2.8,4.3,9.5,9.8,8.3,8.5,7.2,7.8,5.6,5.9,3.9,4.3,2.3,3.8,2.0,4.4,2.1,3.9,1.9,3.5,2.4,3.8,3.1,
1951-07-01,3.1,2.7,4.0,10.7,9.9,9.0,8.2,7.5,6.8,6.0,5.8,4.1,4.2,2.2,3.6,2.3,3.5,2.1,3.4,1.9,3.3,2.3,3.4,2.4,
1951-08-01,3.1,2.8,3.9,10.8,10.3,7.9,8.6,5.0,7.2,5.0,5.9,3.2,4.1,2.4,3.4,2.4,3.9,2.4,3.5,2.1,3.2,2.5,3.4,2.3,
