date,overall_rate,age_16_17_rate,age_16_19_rate,age_18_19_rate,age_16_24_rate,age_20_24_rate,age_25_34_rate,age_25_54_rate,age_35_44_rate,age_45_54_rate,age_20plus_rate,age_25plus_rate,age_55plus_rate
1948-01-01,3.4,9.4,8.5,8.3,6.8,5.8,3.0,2.5,2.0,2.2,3.0,2.6,2.9
1948-02-01,3.8,13.1,10.0,8.2,7.7,6.3,3.3,2.9,2.5,2.8,3.3,2.9,3.1
1948-03-01,4.0,13.0,10.5,8.9,8.7,7.6,2.9,2.8,2.7,2.6,3.5,2.8,3.0
1948-04-01,3.9,11.2,9.5,8.6,7.8,6.8,3.4,3.0,2.9,2.6,3.5,3.0,3.0
1948-05-01,3.5,6.5,7.0,7.9,6.7,6.6,3.0,2.7,2.6,2.4,3.3,2.8,3.1
1948-06-01,3.6,11.9,9.3,7.1,7.3,6.0,3.0,2.7,2.6,2.4,3.2,2.7,2.8
1948-07-01,3.6,10.3,9.7,9.3,7.5,6.2,2.9,2.6,2.5,2.5,3.1,2.7,2.8
1948-08-01,3.9,9.0,9.6,9.7,7.1,5.7,3.6,3.1,2.8,2.7,3.4,3.1,3.3
1948-09-01,3.8,9.1,8.8,8.2,6.7,5.5,3.4,3.1,2.7,3.2,3.4,3.1,3.2
1948-10-01,3.7,8.1,8.5,8.6,6.4,5.2,3.4,2.9,2.5,2.6,3.4,2.9,3.2
1948-11-01,3.8,8.5,9.1,9.7,6.8,5.4,3.5,2.9,2.5,2.7,3.4,3.1,3.7
1948-12-01,4.0,7.4,8.5,9.2,7.2,6.4,3.3,3.0,2.7,3.2,3.6,3.2,3.9
1949-01-01,4.3,9.6,10.0,10.5,8.0,6.7,3.8,3.4,3.0,3.2,3.8,3.4,3.5
1949-02-01,4.7,12.5,10.6,9.5,8.7,7.5,4.0,3.7,3.5,3.5,4.2,3.7,4.0
1949-03-01,5.0,13.1,11.9,11.3,9.3,7.8,4.1,3.8,3.6,3.5,4.4,3.8,4.3
1949-04-01,5.3,13.8,13.2,12.8,10.0,8.1,4.9,4.2,3.9,3.8,4.7,4.3,4.4
1949-05-01,6.1,13.6,13.4,13.9,11.0,9.7,5.5,4.8,4.4,4.3,5.5,4.9,5.3
1949-06-01,6.2,14.5,13.8,12.9,11.2,9.7,6.1,5.0,4.4,4.2,5.6,5.0,5.3
